選手登録番,レースID,艇番,年齢,支部,体重,級別,全国勝率,全国2連率,当地勝率,当地2連率,モーター2連率,ボート2連率,会場,日付,着,展示タイム,天候,風向,風量,波,単勝オッズ,月,曜日,is_win,全国勝率_dev,全国2連率_dev,当地勝率_dev,当地2連率_dev,モーター2連率_dev,ボート2連率_dev,展示タイム_dev
5055,202403292401,1,28.0,16,53.0,2,5.23,30.19,4.47,23.61,27.03,34.38,24,2024-03-29,2,6.94,0,5,1,1,160,3,4,0,51.55655634873878,54.865800648322924,44.963211475785684,51.322042336196965,42.949856088300116,50.32149562949215,59.286710068558094
3965,202403292401,2,44.0,12,58.0,2,5.23,35.09,6.71,57.14,34.52,32.29,24,2024-03-29,1,7.06,0,5,1,1,180,3,4,1,51.55655634873878,57.805021257362554,46.48599023942545,68.8861490130125,48.69853128681484,48.977236546977835,68.55002792031877
4143,202403292401,3,42.0,2,56.0,2,4.5,26.61,4.76,25.37,31.38,34.76,24,2024-03-29,4,6.97,0,5,1,1,640,3,4,0,45.414469134796576,52.71837008090214,45.160356940721186,52.24398769113867,46.28853928102896,50.565906371767475,61.60253953149823
3661,202403292401,4,54.0,6,58.0,2,5.46,33.33,4.38,14.29,24.6,41.4,24,2024-03-29,3,6.94,0,5,1,1,790,3,4,0,53.491734512035634,56.749301201870765,44.90202840046087,46.439922615710216,41.084798580637795,54.836662499946925,59.286710068558094
4498,202403292401,5,36.0,16,54.0,2,5.6,37.5,5.99,43.46,36.22,32.11,24,2024-03-29,6,6.86,0,5,1,1,1110,3,4,0,54.66966904621633,59.250637924257546,45.99652563682695,61.72011920869289,50.00330402880083,48.86146303747899,53.11116483405093
5296,202403292401,6,38.0,0,53.0,4,5.34,1.62,0.0,0.0,53.0,17.0,24,2024-03-29,5,6.97,0,5,1,1,450,3,4,0,52.482076339880756,37.72834497480005,41.92445206798669,38.95435493268923,62.88217850558015,39.14292010121522,61.60253953149823
3741,202403292402,1,49.0,14,58.0,2,4.05,18.63,4.55,22.64,42.55,32.43,24,2024-03-29,1,6.95,0,5,1,1,430,3,4,1,42.91947951257502,46.74647586778474,45.60040386331096,50.47285790590945,56.94541088549279,48.0435030278056,59.66085309297982
3105,202403292402,2,60.0,11,53.0,1,5.64,35.16,0.0,0.0,23.56,21.74,24,2024-03-29,3,6.96,0,5,1,1,770,3,4,0,54.01775912348431,55.8933339767478,42.274792909203725,38.34301760846506,43.135052681721916,47.40051159221154,60.392064450934704
4348,202403292402,3,38.0,0,53.0,4,5.34,6.42,43.52,5.85,18.0,69.0,24,2024-03-29,4,6.98,0,5,1,1,400,3,4,0,51.92374410255803,39.99008521379569,74.08371350760956,41.477274045746405,39.091577609949084,50.24314725602587,61.854487166844535
3484,202403292402,4,52.0,3,54.0,1,5.96,43.65,5.7,40.74,25.13,34.78,24,2024-03-29,2,6.99,0,5,1,1,500,3,4,0,56.25137514580568,60.591266544509224,46.44094289566773,60.17030089989105,44.276825318895185,48.184852875667715,62.58569852479941
3604,202403292402,5,53.0,14,48.0,2,4.18,18.75,2.88,8.0,40.66,28.65,24,2024-03-29,6,6.96,0,5,1,1,1330,3,4,0,43.82688602164308,46.81287774153402,44.37979500762764,42.629180257738696,55.57092025857721,47.816140293797595,60.392064450934704
3809,202403292402,6,38.0,0,53.0,4,5.34,5.19,36.07,5.0,29.0,76.0,24,2024-03-29,5,6.93,0,5,1,1,1180,3,4,0,51.92374410255803,39.30946600786559,68.63848238495048,41.021869264261085,47.09125850734138,50.664189356040694,58.19843037707
3583,202403292403,1,51.0,4,57.0,2,3.69,17.65,0.0,0.0,24.34,33.69,24,2024-03-29,2,6.98,0,5,2,1,430,3,4,0,37.13923016486635,42.82740733059789,42.040460172974555,34.618222068560726,45.16369684468676,48.65047724242983,62.00073082931885
5231,202403292403,2,20.0,6,46.0,2,4.3,23.0,3.47,23.53,32.61,30.98,24,2024-03-29,5,6.88,0,5,2,1,240,3,4,0,41.765935495600694,45.93182064672876,45.08038981724266,47.31466388544916,50.65485907379445,48.55144890104748,54.819876479953074
3257,202403292403,3,38.0,0,53.0,4,5.34,6.61,54.44,8.53,57.0,68.0,24,2024-03-29,1,6.97,0,5,2,1,250,3,4,1,49.65408884636089,36.42129088011476,89.73318923175133,39.22088457166563,66.84947174222691,49.904227202883156,61.28264539438223
4063,202403292403,4,44.0,9,57.0,0,6.72,50.0,6.36,42.86,31.49,36.46,24,2024-03-29,3,6.93,0,5,2,1,500,3,4,0,60.12106156179269,61.59895327019294,47.61220442010571,57.74484749447819,49.91119502341952,48.75169809321548,58.410303654635925
3771,202403292403,5,50.0,11,51.0,1,5.66,36.73,4.67,22.22,39.47,43.98,24,2024-03-29,4,7.01,0,5,2,1,1330,3,4,0,52.08121295428711,53.89884771784592,46.131662316701366,46.607807158712056,55.20980138234085,49.02649260509566,64.15498713412852
4404,202403292403,6,38.0,0,53.0,4,5.34,3.95,25.0,5.75,71.0,52.0,24,2024-03-29,6,6.92,0,5,2,1,1180,3,4,0,49.65408884636089,34.87778818461791,63.941970578364334,37.72083747217775,76.14527237191345,49.31955802867,57.69221821969937
4359,202403292404,1,39.0,9,56.0,2,5.16,33.33,4.1,20.0,25.26,29.26,24,2024-03-29,2,7.03,0,5,2,1,230,3,4,0,47.25975970955098,50.98911918750168,46.05995073364602,45.08862455366025,43.46676985923942,47.45845908231431,62.643091211444826
4184,202403292404,2,37.0,5,52.0,0,6.38,49.11,6.28,55.17,24.35,42.16,24,2024-03-29,1,6.93,0,5,2,1,190,3,4,1,58.26445537972334,61.11939602297474,48.03299224987535,63.025317883562785,42.66648285040488,48.86869626774027,55.95684105154609
4492,202403292404,3,37.0,10,50.0,0,5.04,33.33,0.0,0.0,34.55,36.46,24,2024-03-29,4,6.93,0,5,2,1,250,3,4,0,46.177330627238945,50.98911918750168,42.34918457926976,34.88862834672108,51.63673283953927,48.245568209063684,55.95684105154609
4603,202403292404,4,36.0,16,53.0,2,5.23,30.36,5.27,33.97,34.38,31.94,24,2024-03-29,6,6.92,0,5,2,1,240,3,4,0,47.891176674233,49.082470125311886,47.11887668501681,52.21332190420726,51.4872286730537,47.75143859060435,55.28821603555624
3161,202403292404,5,64.0,5,53.0,1,5.73,41.73,5.66,34.29,36.13,38.8,24,2024-03-29,3,6.88,0,5,2,1,1200,3,4,0,52.40129785053315,56.38166198965464,47.4718520021404,52.37652184351829,53.026242151581656,48.50137867525723,52.61371597159676
3470,202403292404,6,54.0,9,46.0,2,5.33,37.18,5.81,44.68,42.71,29.53,24,2024-03-29,5,7.0,0,5,2,1,590,3,4,0,48.79320090949303,53.460701305155126,47.60761173949563,57.67541987302319,58.81293283084678,47.48797567456741,60.6372161634752
4551,202403292405,1,35.0,14,53.0,1,5.81,41.9,5.46,33.82,49.2,36.76,24,2024-03-29,1,6.85,0,4,2,1,100,3,4,1,52.78981036593352,58.06532203692701,45.2303043543513,54.11071850167872,59.36589982499888,48.78512664339882,52.68887345164896
4103,202403292405,2,44.0,4,54.0,2,4.57,26.04,0.0,0.0,27.98,20.56,24,2024-03-29,4,6.95,0,4,2,1,190,3,4,0,41.11028272462978,49.10781756539695,41.56970661184741,36.988805292962326,45.59145752146234,48.58525918755502,60.56789798438783
4600,202403292405,3,39.0,8,51.0,0,6.03,43.24,6.33,44.44,41.88,31.52,24,2024-03-29,3,6.94,0,4,2,1,800,3,4,0,54.861984624874516,58.82213515116725,45.81358641222279,59.487262507490904,54.61430144319457,48.72047815768144,59.77999553111396
4512,202403292405,4,34.0,3,52.0,0,6.23,47.45,5.41,31.03,47.62,36.26,24,2024-03-29,2,6.97,0,4,2,1,240,3,4,0,56.74577940572996,61.19988381605638,45.19678239700236,52.6982366018467,58.34028159504658,48.77895789476166,62.143702890935565
4630,202403292405,5,37.0,10,52.0,1,5.82,36.69,5.41,34.15,25.0,32.07,24,2024-03-29,6,6.91,0,4,2,1,2560,3,4,0,52.8840001049763,55.12278746588844,45.19678239700236,54.277786253271756,43.65706364471687,48.72726378118231,57.416288171292294
